file,sample_id,label,n_cells,has_predicted_labels,has_conf_score,n_cell_types
Bassez_et_al_BIOKEY_10_BIOKEY_10-pre_Tumor_pre_R.h5ad,BIOKEY_10::pre,R,4643,True,True,20
Bassez_et_al_BIOKEY_11_BIOKEY_11-pre_Tumor_pre_R.h5ad,BIOKEY_11::pre,R,1572,True,True,25
Bassez_et_al_BIOKEY_12_BIOKEY_12-pre_Tumor_pre_R.h5ad,BIOKEY_12::pre,R,5877,True,True,26
Bassez_et_al_BIOKEY_14_BIOKEY_14-pre_Tumor_pre_NR.h5ad,BIOKEY_14::pre,NR,3185,True,True,26
Bassez_et_al_BIOKEY_15_BIOKEY_15-pre_Tumor_pre_R.h5ad,BIOKEY_15::pre,R,3748,True,True,26
Bassez_et_al_BIOKEY_5_BIOKEY_5-pre_Tumor_pre_R.h5ad,BIOKEY_5::pre,R,3121,True,True,25
Bassez_et_al_BIOKEY_6_BIOKEY_6-pre_Tumor_pre_NR.h5ad,BIOKEY_6::pre,NR,5347,True,True,24
Bassez_et_al_BIOKEY_7_BIOKEY_7-pre_Tumor_pre_NR.h5ad,BIOKEY_7::pre,NR,811,True,True,21
Bassez_et_al_BIOKEY_8_BIOKEY_8-pre_Tumor_pre_NR.h5ad,BIOKEY_8::pre,NR,365,True,True,22
Bassez_et_al_BIOKEY_9_BIOKEY_9-pre_Tumor_pre_NR.h5ad,BIOKEY_9::pre,NR,3147,True,True,26
franken_et_al_5_10X_HEN061_Tumor_pre_NR.h5ad,10X_HEN061,NR,13185,True,True,31
franken_et_al_6_10X_HEN074_Tumor_pre_NR.h5ad,10X_HEN074,NR,25300,True,True,32
franken_et_al_7_10X_HEN004_Tumor_pre_R.h5ad,10X_HEN004,R,3893,True,True,31
franken_et_al_8_10X_HEN079_Tumor_pre_R.h5ad,10X_HEN079,R,19655,True,True,31
franken_et_al_9_10X_HEN027_Tumor_pre_R.h5ad,10X_HEN027,R,6106,True,True,32
