sample,label,cell_type,n_cells,frac,mean_conf
BIOKEY_10::pre,R,B cells,342,0.0737,0.3303
BIOKEY_10::pre,R,B-cell lineage,1,0.0002,0.0181
BIOKEY_10::pre,R,Cycling cells,25,0.0054,0.3155
BIOKEY_10::pre,R,DC,23,0.0050,0.4837
BIOKEY_10::pre,R,Double-negative thymocytes,8,0.0017,0.1131
BIOKEY_10::pre,R,Double-positive thymocytes,119,0.0256,0.2420
BIOKEY_10::pre,R,Endothelial cells,53,0.0114,0.8882
BIOKEY_10::pre,R,Epithelial cells,212,0.0457,0.5474
BIOKEY_10::pre,R,Erythroid,10,0.0022,0.2699
BIOKEY_10::pre,R,Fibroblasts,329,0.0709,0.7936
BIOKEY_10::pre,R,HSC/MPP,2,0.0004,0.2132
BIOKEY_10::pre,R,ILC,203,0.0437,0.4571
BIOKEY_10::pre,R,Macrophages,1329,0.2862,0.5192
BIOKEY_10::pre,R,Mast cells,25,0.0054,0.8722
BIOKEY_10::pre,R,Monocyte precursor,3,0.0006,0.1071
BIOKEY_10::pre,R,Monocytes,38,0.0082,0.1492
BIOKEY_10::pre,R,Myelocytes,32,0.0069,0.2295
BIOKEY_10::pre,R,Plasma cells,369,0.0795,0.7187
BIOKEY_10::pre,R,Promyelocytes,1,0.0002,0.0711
BIOKEY_10::pre,R,T cells,1518,0.3269,0.8973
BIOKEY_10::pre,R,pDC,1,0.0002,0.2086
BIOKEY_11::pre,R,B cells,73,0.0464,0.5756
BIOKEY_11::pre,R,Cycling cells,5,0.0032,0.6762
BIOKEY_11::pre,R,DC,23,0.0146,0.5123
BIOKEY_11::pre,R,Double-negative thymocytes,1,0.0006,0.1459
BIOKEY_11::pre,R,Double-positive thymocytes,9,0.0057,0.1498
BIOKEY_11::pre,R,Endothelial cells,10,0.0064,1.0000
BIOKEY_11::pre,R,Epithelial cells,274,0.1743,0.6074
BIOKEY_11::pre,R,Erythroid,1,0.0006,0.5446
BIOKEY_11::pre,R,Fibroblasts,25,0.0159,0.8099
BIOKEY_11::pre,R,ILC,124,0.0789,0.5542
BIOKEY_11::pre,R,Macrophages,191,0.1215,0.7656
BIOKEY_11::pre,R,Monocytes,36,0.0229,0.6371
BIOKEY_11::pre,R,Myelocytes,1,0.0006,0.1195
BIOKEY_11::pre,R,Plasma cells,70,0.0445,0.9801
BIOKEY_11::pre,R,T cells,718,0.4567,0.8531
BIOKEY_11::pre,R,pDC,11,0.0070,0.9532
BIOKEY_12::pre,R,B cells,386,0.0657,0.4208
BIOKEY_12::pre,R,Cycling cells,11,0.0019,0.3039
BIOKEY_12::pre,R,DC,58,0.0099,0.7125
BIOKEY_12::pre,R,Double-negative thymocytes,4,0.0007,0.0279
BIOKEY_12::pre,R,Double-positive thymocytes,60,0.0102,0.1030
BIOKEY_12::pre,R,Endothelial cells,245,0.0417,0.9433
BIOKEY_12::pre,R,Epithelial cells,731,0.1244,0.6167
BIOKEY_12::pre,R,Erythroid,2,0.0003,0.0475
BIOKEY_12::pre,R,Fibroblasts,352,0.0599,0.8499
BIOKEY_12::pre,R,Granulocytes,1,0.0002,0.3283
BIOKEY_12::pre,R,HSC/MPP,1,0.0002,0.4687
BIOKEY_12::pre,R,ILC,332,0.0565,0.7063
BIOKEY_12::pre,R,Macrophages,363,0.0618,0.3859
BIOKEY_12::pre,R,Mast cells,85,0.0145,0.8236
BIOKEY_12::pre,R,Monocytes,44,0.0075,0.3225
BIOKEY_12::pre,R,Myelocytes,7,0.0012,0.1594
BIOKEY_12::pre,R,Plasma cells,201,0.0342,0.7513
BIOKEY_12::pre,R,T cells,2982,0.5074,0.9120
BIOKEY_12::pre,R,pDC,12,0.0020,0.9996
BIOKEY_14::pre,NR,B cells,726,0.2279,0.8608
BIOKEY_14::pre,NR,DC,72,0.0226,0.6305
BIOKEY_14::pre,NR,Double-negative thymocytes,2,0.0006,0.0285
BIOKEY_14::pre,NR,Double-positive thymocytes,19,0.0060,0.0672
BIOKEY_14::pre,NR,Endothelial cells,312,0.0980,0.8906
BIOKEY_14::pre,NR,Epithelial cells,150,0.0471,0.6277
BIOKEY_14::pre,NR,Erythroid,3,0.0009,0.2678
BIOKEY_14::pre,NR,Fibroblasts,269,0.0845,0.7696
BIOKEY_14::pre,NR,HSC/MPP,1,0.0003,0.0033
BIOKEY_14::pre,NR,ILC,104,0.0327,0.5612
BIOKEY_14::pre,NR,Macrophages,140,0.0440,0.5524
BIOKEY_14::pre,NR,Mast cells,12,0.0038,0.9105
BIOKEY_14::pre,NR,Monocytes,30,0.0094,0.3797
BIOKEY_14::pre,NR,Myelocytes,10,0.0031,0.2162
BIOKEY_14::pre,NR,Plasma cells,69,0.0217,0.8880
BIOKEY_14::pre,NR,T cells,1242,0.3900,0.9162
BIOKEY_14::pre,NR,pDC,24,0.0075,0.9821
BIOKEY_15::pre,R,B cells,268,0.0715,0.6752
BIOKEY_15::pre,R,B-cell lineage,1,0.0003,0.0790
BIOKEY_15::pre,R,Cycling cells,15,0.0040,0.4342
BIOKEY_15::pre,R,DC,83,0.0221,0.7772
BIOKEY_15::pre,R,Double-positive thymocytes,30,0.0080,0.2898
BIOKEY_15::pre,R,Endothelial cells,128,0.0342,0.9368
BIOKEY_15::pre,R,Epithelial cells,639,0.1705,0.7137
BIOKEY_15::pre,R,Erythroid,3,0.0008,0.3015
BIOKEY_15::pre,R,Fibroblasts,271,0.0723,0.8789
BIOKEY_15::pre,R,HSC/MPP,3,0.0008,0.0244
BIOKEY_15::pre,R,ILC,170,0.0454,0.6027
BIOKEY_15::pre,R,Macrophages,469,0.1251,0.6776
BIOKEY_15::pre,R,Mast cells,1,0.0003,0.8085
BIOKEY_15::pre,R,Megakaryocytes/platelets,1,0.0003,0.0010
BIOKEY_15::pre,R,Monocytes,27,0.0072,0.6067
BIOKEY_15::pre,R,Myelocytes,5,0.0013,0.2781
BIOKEY_15::pre,R,Plasma cells,241,0.0643,0.9486
BIOKEY_15::pre,R,T cells,1377,0.3674,0.8904
BIOKEY_15::pre,R,pDC,16,0.0043,0.9811
BIOKEY_5::pre,R,B cells,312,0.1000,0.9287
BIOKEY_5::pre,R,Cycling cells,7,0.0022,0.5752
BIOKEY_5::pre,R,DC,47,0.0151,0.6525
BIOKEY_5::pre,R,Double-positive thymocytes,4,0.0013,0.6692
BIOKEY_5::pre,R,Endothelial cells,45,0.0144,0.8889
BIOKEY_5::pre,R,Epithelial cells,142,0.0455,0.7811
BIOKEY_5::pre,R,Erythroid,6,0.0019,0.6332
BIOKEY_5::pre,R,Fibroblasts,26,0.0083,0.9210
BIOKEY_5::pre,R,ILC,54,0.0173,0.8850
BIOKEY_5::pre,R,Macrophages,18,0.0058,0.2762
BIOKEY_5::pre,R,Mast cells,212,0.0679,0.9629
BIOKEY_5::pre,R,Monocytes,13,0.0042,0.8859
BIOKEY_5::pre,R,Plasma cells,227,0.0727,0.9773
BIOKEY_5::pre,R,T cells,1988,0.6370,0.9798
BIOKEY_5::pre,R,pDC,20,0.0064,0.9696
BIOKEY_6::pre,NR,B cells,454,0.0849,0.1878
BIOKEY_6::pre,NR,Cycling cells,1,0.0002,0.0051
BIOKEY_6::pre,NR,DC,48,0.0090,0.5683
BIOKEY_6::pre,NR,Double-negative thymocytes,7,0.0013,0.0275
