sample,label,cell_type,n_cells,gene_strategy,cell_nodes,gene_nodes,edges,density,min_w,max_w,bytes
BIOKEY_10::pre,R,B cells,342,expressed,342,12109,151243,0.0365,0.826,8.077,6149332
BIOKEY_10::pre,R,B cells,342,hvg,342,236,8012,0.0993,0.826,8.077,325108
BIOKEY_10::pre,R,B-cell lineage,1,expressed,1,616,616,1.0000,2.711,4.598,29580
BIOKEY_10::pre,R,B-cell lineage,1,hvg,1,24,24,1.0000,2.711,4.598,1164
BIOKEY_10::pre,R,Cycling cells,25,expressed,25,9104,38466,0.1690,0.363,6.335,1611676
BIOKEY_10::pre,R,Cycling cells,25,hvg,25,123,633,0.2059,0.363,5.512,26508
BIOKEY_10::pre,R,DC,23,expressed,23,8982,33657,0.1629,0.286,6.337,1418324
BIOKEY_10::pre,R,DC,23,hvg,23,132,587,0.1933,0.286,6.329,24724
BIOKEY_10::pre,R,Double-negative thymocytes,8,expressed,8,1827,2619,0.1792,2.949,7.778,119444
BIOKEY_10::pre,R,Double-negative thymocytes,8,hvg,8,65,150,0.2885,2.949,7.778,6588
BIOKEY_10::pre,R,Double-positive thymocytes,119,expressed,119,10846,69389,0.0538,0.362,7.129,2863284
BIOKEY_10::pre,R,Double-positive thymocytes,119,hvg,119,192,2760,0.1208,0.362,6.509,112892
BIOKEY_10::pre,R,Endothelial cells,53,expressed,53,11005,77616,0.1331,0.350,6.611,3193108
BIOKEY_10::pre,R,Endothelial cells,53,hvg,53,144,1214,0.1591,0.350,6.611,50140
BIOKEY_10::pre,R,Epithelial cells,212,expressed,212,13078,272296,0.0982,0.221,8.316,10998164
BIOKEY_10::pre,R,Epithelial cells,212,hvg,212,231,5435,0.1110,0.221,8.316,220948
BIOKEY_10::pre,R,Erythroid,10,expressed,10,2731,4181,0.1531,2.830,6.016,189172
BIOKEY_10::pre,R,Erythroid,10,hvg,10,76,210,0.2763,2.830,6.016,9092
