sample,label,n_in_sample,n_requested,n_sampled,gene_strategy,cell_nodes,gene_nodes,edges,density,min_w,max_w,bytes
BIOKEY_10::pre,R,4643,128,128,expressed,128,12354,137601,0.0870,0.198,8.387,5603900
BIOKEY_10::pre,R,4643,128,128,hvg,128,213,2948,0.1081,0.198,8.387,120652
BIOKEY_11::pre,R,1572,128,128,expressed,128,12477,176622,0.1106,0.203,8.885,7165724
BIOKEY_11::pre,R,1572,128,128,hvg,128,191,2012,0.0823,0.203,8.885,83036
BIOKEY_12::pre,R,5877,128,128,expressed,128,12579,170053,0.1056,0.273,8.476,6903780
BIOKEY_12::pre,R,5877,128,128,hvg,128,177,1590,0.0702,0.273,8.476,66044
BIOKEY_14::pre,NR,3185,128,128,expressed,128,12999,187233,0.1125,0.254,8.429,7594340
BIOKEY_14::pre,NR,3185,128,128,hvg,128,257,1979,0.0602,0.254,8.429,82244
BIOKEY_15::pre,R,3748,128,128,expressed,128,13409,226049,0.1317,0.219,8.676,9150260
BIOKEY_15::pre,R,3748,128,128,hvg,128,262,2454,0.0732,0.219,8.676,101284
BIOKEY_5::pre,R,3121,128,128,expressed,128,12343,175854,0.1113,0.204,8.960,7133932
BIOKEY_5::pre,R,3121,128,128,hvg,128,228,2039,0.0699,0.204,8.960,84412
BIOKEY_6::pre,NR,5347,128,128,expressed,128,13170,199582,0.1184,0.328,8.453,8089668
BIOKEY_6::pre,NR,5347,128,128,hvg,128,200,1635,0.0639,0.328,8.453,68028
BIOKEY_7::pre,NR,811,128,128,expressed,128,13458,390269,0.2266,0.155,7.942,15719452
BIOKEY_7::pre,NR,811,128,128,hvg,128,156,2232,0.1118,0.155,7.942,91556
BIOKEY_8::pre,NR,365,128,128,expressed,128,11067,205789,0.1453,0.286,8.885,8321124
BIOKEY_8::pre,NR,365,128,128,hvg,128,123,1751,0.1112,0.286,8.885,72052
BIOKEY_9::pre,NR,3147,128,128,expressed,128,12459,114150,0.0716,0.317,8.963,4666700
BIOKEY_9::pre,NR,3147,128,128,hvg,128,212,2011,0.0741,0.317,8.963,83164
10X_HEN061,NR,13185,128,128,expressed,128,13618,250318,0.1436,0.261,7.654,10122692
10X_HEN061,NR,13185,128,128,hvg,128,230,2309,0.0784,0.261,7.654,95228
10X_HEN074,NR,25300,128,128,expressed,128,13110,176280,0.1050,0.185,8.846,7157108
10X_HEN074,NR,25300,128,128,hvg,128,272,1819,0.0522,0.185,8.846,75964
10X_HEN004,R,3893,128,128,expressed,128,12524,159183,0.0993,0.219,8.546,6468540
10X_HEN004,R,3893,128,128,hvg,128,230,1591,0.0540,0.219,8.546,66508
10X_HEN079,R,19655,128,128,expressed,128,12863,135529,0.0823,0.183,8.588,5525092
10X_HEN079,R,19655,128,128,hvg,128,231,1426,0.0482,0.183,8.588,59916
10X_HEN027,R,6106,128,128,expressed,128,11707,108339,0.0723,0.287,8.535,4428244
10X_HEN027,R,6106,128,128,hvg,128,190,1454,0.0598,0.287,8.535,60708
BIOKEY_10::pre,R,4643,256,256,expressed,256,13296,267204,0.0785,0.187,8.563,10796580
BIOKEY_10::pre,R,4643,256,256,hvg,256,258,6107,0.0925,0.187,8.563,248396
BIOKEY_11::pre,R,1572,256,256,expressed,256,13071,350041,0.1046,0.178,8.852,14108260
BIOKEY_11::pre,R,1572,256,256,hvg,256,228,4115,0.0705,0.178,8.852,168476
BIOKEY_12::pre,R,5877,256,256,expressed,256,13572,316867,0.0912,0.229,8.485,12785308
BIOKEY_12::pre,R,5877,256,256,hvg,256,236,3331,0.0551,0.229,8.485,137180
BIOKEY_14::pre,NR,3185,256,256,expressed,256,13508,334180,0.0966,0.327,8.531,13477316
BIOKEY_14::pre,NR,3185,256,256,hvg,256,286,3651,0.0499,0.327,8.531,150380
BIOKEY_15::pre,R,3748,256,256,expressed,256,14228,439792,0.1207,0.203,8.763,17707556
BIOKEY_15::pre,R,3748,256,256,hvg,256,311,5002,0.0628,0.203,8.763,204620
BIOKEY_5::pre,R,3121,256,256,expressed,256,13228,395014,0.1166,0.204,8.866,15908436
BIOKEY_5::pre,R,3121,256,256,hvg,256,253,3955,0.0611,0.204,8.866,162276
BIOKEY_6::pre,NR,5347,256,256,expressed,256,13958,431238,0.1207,0.257,8.805,17363236
BIOKEY_6::pre,NR,5347,256,256,hvg,256,248,3375,0.0532,0.257,8.805,139036
BIOKEY_7::pre,NR,811,256,256,expressed,256,13915,781220,0.2193,0.160,8.824,31362172
BIOKEY_7::pre,NR,811,256,256,hvg,256,186,4650,0.0977,0.160,8.824,189540
BIOKEY_8::pre,NR,365,256,256,expressed,256,11159,394935,0.1382,0.286,8.740,15888724
BIOKEY_8::pre,NR,365,256,256,hvg,256,128,3459,0.1056,0.286,8.740,141436
BIOKEY_9::pre,NR,3147,256,256,expressed,256,13559,226462,0.0652,0.270,9.041,9169004
BIOKEY_9::pre,NR,3147,256,256,hvg,256,280,4002,0.0558,0.270,9.041,164372
10X_HEN061,NR,13185,256,256,expressed,256,14620,492517,0.1316,0.235,8.591,19819692
10X_HEN061,NR,13185,256,256,hvg,256,303,4616,0.0595,0.235,8.591,189116
10X_HEN074,NR,25300,256,256,expressed,256,13852,359493,0.1014,0.210,8.914,14492588
10X_HEN074,NR,25300,256,256,hvg,256,311,3292,0.0413,0.210,8.914,136220
10X_HEN004,R,3893,256,256,expressed,256,13436,288651,0.0839,0.279,8.514,11655580
10X_HEN004,R,3893,256,256,hvg,256,277,3146,0.0444,0.279,8.514,130108
10X_HEN079,R,19655,256,256,expressed,256,13633,238261,0.0683,0.178,8.684,9641556
10X_HEN079,R,19655,256,256,hvg,256,287,2925,0.0398,0.178,8.684,121348
10X_HEN027,R,6106,256,256,expressed,256,12677,201705,0.0622,0.260,8.701,8171668
10X_HEN027,R,6106,256,256,hvg,256,269,2986,0.0434,0.260,8.701,123644
